service_id,date,exception_type
27629,20260819,2
27631,20260819,2
27634,20260819,2
27637,20260819,2
27638,20260819,2
27644,20260819,2
27646,20260819,2
27647,20260819,2
27650,20260819,2
27653,20260819,2
27656,20260819,2
27657,20260819,2
27662,20260819,2
27665,20260819,2
27666,20260819,2
27667,20260819,2
27668,20260819,2
27675,20260819,2
27676,20260819,2
27677,20260819,2
27678,20260819,2
27623,20260820,2
27625,20260820,2
27627,20260820,2
27629,20260820,2
27631,20260820,2
27634,20260820,2
27637,20260820,2
27638,20260820,2
27644,20260820,2
27646,20260820,2
27647,20260820,2
27650,20260820,2
27653,20260820,2
27656,20260820,2
27657,20260820,2
27662,20260820,2
27665,20260820,2
27666,20260820,2
27667,20260820,2
27668,20260820,2
27675,20260820,2
27676,20260820,2
27677,20260820,2
27678,20260820,2
27620,20260821,2
27623,20260821,2
27625,20260821,2
27627,20260821,2
27629,20260821,2
27631,20260821,2
27634,20260821,2
27637,20260821,2
27638,20260821,2
27644,20260821,2
27646,20260821,2
27647,20260821,2
27650,20260821,2
27653,20260821,2
27656,20260821,2
27657,20260821,2
27662,20260821,2
27665,20260821,2
27666,20260821,2
27667,20260821,2
27668,20260821,2
27675,20260821,2
27676,20260821,2
27677,20260821,2
27678,20260821,2
